Eid     Date       InTime       OutTime

01    25/10/2018    08:20:00    20:00:00
02    25/10/2018    08:20:01    20:00:16
03    25/10/2018    08:20:12    20:00:09
04    25/10/2018    08:20:16    20:00:10
05    25/10/2018    08:20:09    20:00:12
06    25/10/2018    08:20:11    20:00:13
07    25/10/2018    08:20:16    20:00:16
08    25/10/2018    08:20:04    20:00:17
09    25/10/2018    08:20:05    20:00:24
10    25/10/2018    08:20:08    20:00:00
11    25/10/2018    08:20:20    20:00:00
12    25/10/2018    08:20:14    20:00:00
13    25/10/2018    08:20:17    20:00:00
14    25/10/2018    08:20:05    20:00:00
15    25/10/2018    08:20:09    20:00:00
16    25/10/2018    08:20:04    20:00:09
17    26/10/2018    08:20:22    20:00:10
01    26/10/2018    08:20:19    20:00:11
02    26/10/2018    08:20:00    20:00:01
03    26/10/2018    08:20:05    20:00:13
04    26/10/2018    08:20:09    20:00:14
